Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
"Dijual cepat Rumah baru di Surya Mutiara, dekat Sunrise Garden","Rp 1,68 Miliar",5,2,59 m²,94 m²,3,SHM,2200 Watt,1,1,2,3,Baru
Rumah Siap Huni Strategis Di Lenteng Agung Jagakarsa,"Rp 15,5 Miliar",2,3,1930 m²,490 m²,1,SHM,3500 Watt,2,1,2,2,Baru
Rumah Jelambar Murah Dan Bagus Uk 10x15 Akses 2 -3:mobil,"Rp 2,65 Miliar",4,2,150 m²,100 m²,1,SHM,4400 Watt,1,1,2,1,Baru
Rumah Di Gunung Sahari,"Rp 3,3 Miliar",3,4,120 m²,210 m²,1,SHM,Lainnya,1,1,1,3,Baru
"Rumah Modern Minimalist Di Tebet Barat, Akses Jln 1 Mobil Lebar",Rp 4 Miliar,4,1,140 m²,160 m²,1,SHM,2200 Watt,2,1,1,3,Baru
"Rumah baru 2.5 lantai di Kebon Jahe, Petojo Selatan, dekat Tanah Abang","Rp 4,5 Miliar",3,4,148 m²,150 m²,2,SHM,Lainnya,2,1,2,3,Baru
Non Cluster Rumah Baru 3 Lantai Dekat Pintu Tol Tb Simatupang,"Rp 2,55 Miliar",3,2,113 m²,200 m²,2,SHM,2200 Watt,1,2,2,2,Sudah Renovasi
Minimalis Rumah 1 Lantai Siap Huni Di Jagakarsa Bebas Banjir,Rp 700 Juta,3,4,55 m²,40 m²,2,SHM,1300 Watt,2,2,1,3,Baru
"Rumah Hoek 3 Lantai Di Kapuk, Cengkareng",Rp 1 Miliar,3,2,43 m²,100 m²,2,SHM,2200 Watt,1,1,1,2,Baru
Rumah Baru Dalam Cluster Jagakarsa Free Biaya Surat Surat,"Rp 1,3 Miliar",3,3,69 m²,80 m²,1,SHM,Lainnya,1,2,1,2,Baru
Nego Ratusan Juta Rumah Mewah 2 Lantai Jagakarsa,"Rp 3,15 Miliar",3,2,128 m²,200 m²,1,SHM,2200 Watt,1,1,1,2,Bagus
Rumah Classic 2 Lantai Cuma 10 Menit Ke Tol Andara,Rp 950 Juta,3,3,41 m²,80 m²,2,SHM,2200 Watt,1,1,1,2,Baru
Rumah Classic Dalam Cluster Hanya 10 Menit Ke Tol Andara,"Rp 1,65 Miliar",2,3,68 m²,125 m²,2,SHM,2200 Watt,1,1,2,2,Bagus
Rumah Minimalis 1 Lantai Lingkungan Adem Dan Asri Di Jagakarsa,"Rp 1,3 Miliar",4,3,105 m²,80 m²,2,SHM,2200 Watt,3,1,1,4,Bagus
Rumah Classic Modern 2 Lantai Cuma 5 Menit Ke Tol Andara,"Rp 1,35 Miliar",4,3,61 m²,100 m²,2,SHM,2200 Watt,1,1,2,2,Baru
"Dalam Cluster Rumah Baru Siap Huni 2,5 Lantai Di Jagkarsa","Rp 1,85 Miliar",4,1,69 m²,155 m²,2,SHM,2200 Watt,1,1,4,1,Baru
Dijual Rumah Siap Huni Private Pool Dekat Ke Tol Desari,"Rp 2,4 Miliar",4,4,124 m²,240 m²,1,SHM,3300 Watt,1,1,2,2,Sudah Renovasi
Rumah Classic Dalam Cluster Hanya 10 Menit Ke Tol Tb Simatupang,"Rp 1,5 Miliar",4,4,63 m²,120 m²,2,SHM,2200 Watt,1,1,1,2,Bagus
Rumah 1 Lantai Siap Huni 10 Menit Ke Pintu Tol Andara,"Rp 1,13 Miliar",3,4,103 m²,70 m²,1,SHM,1300 Watt,1,1,4,2,Baru
7 Menit Ke Pintu Tol Brigif Rumah American Classic 3 Lantai,"Rp 3,35 Miliar",3,4,114 m²,250 m²,2,SHM,3500 Watt,2,1,1,3,Baru
Siap Huni Rumah Dalam Komplek Di Duren Sawit,"Rp 4,3 Miliar",3,4,200 m²,300 m²,2,SHM,3500 Watt,1,1,1,2,Baru
Rumah American Classic Townhouse Dekat Ke Tol Tb Simatupang,"Rp 3,4 Miliar",3,2,130 m²,200 m²,1,SHM,3500 Watt,2,1,3,2,Baru
Rumah Siap Huni Hanya 5 Menit Ke Pintu Tol Andara,"Rp 1,98 Miliar",3,3,81 m²,155 m²,2,SHM,2200 Watt,1,1,2,2,Baru
Rumah Baru Classic Modern Dekat Tol Tb Simatupang ,"Rp 1,6 Miliar",4,3,67 m²,130 m²,3,SHM,2200 Watt,1,1,2,2,Bagus
Rumah Baru 2 Lantai Siap Huni Di Cipayung,Rp 1 Miliar,4,3,87 m²,90 m²,2,SHM,2200 Watt,1,1,2,3,Baru
Dijual Rumah Baru 2 Lantai Dalam Cluster Jagakarsa,"Rp 1,27 Miliar",2,3,77 m²,130 m²,6,SHM,2200 Watt,1,1,2,3,Baru
Rumah 2 Lantai Murah Bebas Banjir Di Lubang Buaya,"Rp 1,35 Miliar",3,4,66 m²,100 m²,2,SHM,2200 Watt,1,1,1,3,Baru
Rumah 2 Lantai Murah Bebas Banjir Di Lubang Buaya,"Rp 1,35 Miliar",3,3,66 m²,100 m²,3,SHM,2200 Watt,1,1,2,2,Baru
Dijual Rumah Classic 2 Lantai Dekat Ke Pintu Tol Brigif,"Rp 1,3 Miliar",3,2,60 m²,100 m²,3,SHM,2200 Watt,1,1,2,4,Bagus
"Siap Huni Rumah Mewah Baru 3,5 Lantai Di Jagakarsa ","Rp 3,65 Miliar",3,3,110 m²,325 m²,2,SHM,3500 Watt,1,1,2,2,Baru
Rumah Second Siap Huni Dalam Cluster Shm Kalisari,"Rp 1,6 Miliar",4,2,105 m²,200 m²,2,SHM,2200 Watt,2,1,1,2,Baru
Rumah 1 Lantai Linkungan Aman Nyaman Di Bambu Apus,"Rp 1,38 Miliar",4,3,118 m²,70 m²,6,SHM,2200 Watt,1,1,1,2,Baru
5 Menit Ke Tol Andara Rumah Classic Modern Dlm Cluster,"Rp 1,67 Miliar",3,3,67 m²,125 m²,2,SHM,2200 Watt,1,1,2,2,Bagus
