Nama,Harga,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Sertifikat,Daya Listrik,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,Jumlah Lantai,Kondisi Properti
Murah!! Rumah 5x15 Standard Di Gading Griya ,Rp 900 Juta,3,2,75 m²,75 m²,2,SHM,Lainnya,1,1,2,1,Bagus
"Rumah Minimalis 3 Lantai di Cengkareng Barat, Jakarta Barat",Rp 900 Juta,2,1,48 m²,120 m²,4,SHM,Lainnya,1,1,2,2,Baru
Rumah Tua 1 Lantai Dalam Komplek Belakang Botanica,"Rp 5,5 Miliar",4,6,210 m²,100 m²,1,SHM,450 Watt,1,1,1,3,Bagus
Rumah 2 Lantai di Puri Mansion Jakarta Barat Kondisi Semi Furnish,"Rp 2,85 Miliar",4,4,93 m²,136 m²,1,SHM,Lainnya,1,1,1,2,Baru
Rumah Golfisland Chopin 10x32 View Golf Danau Laut Termurah ,"Rp 13,5 Miliar",5,4,320 m²,400 m²,2,Lainnya,5500 Watt,1,1,1,2,Bagus
Dekat Njop! Rumah Asri Lt 559m Kawasan Tenang,"Rp 21,5 Miliar",5,5,560 m²,612 m²,2,SHM,16500 Watt,1,1,2,2,Bagus
Modern Tropical With S.pool & Lift Kawasan Tenang,Rp 25 Miliar,2,2,489 m²,650 m²,2,SHM,16500 Watt,1,1,1,2,Bagus
Rumah Jual Cepat Dibawah Njop Di Cluster Thames Jgc Cakung Jakarta.timur,"Rp 1,42 Miliar",5,5,90 m²,58 m²,2,HGB,2200 Watt,1,1,1,2,Sudah Renovasi
Rumah Dijual Di Kembang Asri Puri Jakarta Barat,"Rp 9,4 Miliar",4,3,255 m²,350 m²,2,SHM,7700 Watt,1,1,1,2,Bagus
Rumah Green Lake City Cluster East Asia Ukuran 6x15 2 Lantai Shm,"Rp 2,35 Miliar",4,3,90 m²,127 m²,2,SHM,4400 Watt,1,1,2,1,Bagus
Rumah Di Green Lake City Cluster Australia Sudah Renov 2 Lantai,"Rp 2,5 Miliar",4,4,90 m²,120 m²,2,SHM,4400 Watt,1,1,3,2,Renovasi Minimum
"Brand New Cluster, Rumah Mewah & Modern di  Jaksel, Lokasi Strategis! K","Rp 3,1 Miliar",4,3,72 m²,158 m²,2,SHM,Lainnya,1,1,1,2,Bagus
Rumah Hook Komplek Ciremdeu 10 Menit Ke Stasiun Mrt Lebak Bulus Harga Negoo,"Rp 3,5 Miliar",4,3,202 m²,165 m²,4,SHM,2200 Watt,1,1,2,2,Butuh Renovasi
"Jarang Ada Metro Alam Tanah Bonus Bangunan, Pondok Indah, Jaksel","Rp 9,5 Miliar",4,3,240 m²,225 m²,3,SHM,5500 Watt,1,1,1,1,Baru
Harga Gak Ada Lawan ‼️ Rumah Riviera Puri Metland Luas 180 Semi Furnished Bagus Banget Siap Huni,"Rp 5,9 Miliar",3,2,180 m²,230 m²,2,PPJB,5500 Watt,1,1,1,2,Bagus
"Rumah Menteng Hitung Tanah Termurah, Jalan Lebar, Elite, Dekat Thamrin","Rp 19,5 Miliar",4,4,353 m²,200 m²,1,SHM,Lainnya,1,1,2,2,Bagus
"Menteng Mewah 2 Lantai + Rooftop, High Spec, Taman Dan Pool",Rp 100 Miliar,5,5,879 m²,1000 m²,1,SHM,33000 Watt,1,1,1,1,Bagus
"Menteng 2 Lantai, Golongan C, Elite Tenang Dekat Jalan Cendana Suwiryo",Rp 140 Miliar,3,3,1405 m²,1000 m²,1,SHM,16500 Watt,1,1,3,3,Bagus
"Menteng Termurah 58,5 Juta Per M2 Rumah Modern Tropical, Taman, Pool",Rp 43 Miliar,5,5,753 m²,520 m²,2,HGB,Lainnya,1,1,2,2,Bagus
"Kebayoran Baru Rumah 3 Lantai Murah, Lift, Pool, Taman Dekat Senayan",Rp 34 Miliar,5,5,680 m²,650 m²,1,SHM,Lainnya,1,1,4,2,Baru
"Rumah Wijaya Kebayoran Baru, Hoek 2 Lantai, Elite Dekat Scbd Senopati",Rp 60 Miliar,5,5,850 m²,700 m²,2,SHM,Lainnya,1,1,1,2,Baru
"Kebayoran Baru 2 Lantai Area Komersial Dekat Senopati Scbd, Bisa Klinik Kantor",Rp 45 Miliar,4,4,555 m²,700 m²,2,SHM,Lainnya,1,1,2,2,Bagus
"Rumah Brand New Brawijaya Kebayoran Baru 2 Lantai, Mewah, Prime Area",Rp 80 Miliar,4,4,700 m²,800 m²,1,SHM,Lainnya,1,2,2,4,Bagus
" Luxurious Modern Classic House Kebayoran Baru, 2 Lantai, Private Pool",Rp 32 Miliar,3,3,346 m²,400 m²,2,SHM,Lainnya,1,1,1,3,Bagus
"Dhyana Rumah Semifurnish Uk 4x15m di Duri Kepa, Kebun Jeruk","Rp 1,7 Miliar",4,4,60 m²,120 m²,2,SHM,3500 Watt,2,1,2,3,Bagus
dhyana rumah ukuran 5.5x11m jalan 2 mobil di tanjung duren,"Rp 2,2 Miliar",3,2,60 m²,99 m²,1,SHM,Lainnya,1,1,2,3,Bagus
dhyana Rumah ukuran 3.5x8m di JELAMBAR,Rp 950 Juta,3,4,27 m²,75 m²,10,SHM,4400 Watt,1,2,1,2,Bagus
dhyana Rumah ukuran 5x20m lokasi bagus di duri kepa,"Rp 3,5 Miliar",6,4,101 m²,150 m²,4,SHM,3500 Watt,1,1,3,3,Bagus
Rumah Siap Huni Terawat 486 Meter Di Jalan Raya Tebet,Rp 19 Miliar,4,4,486 m²,500 m²,2,SHM,Lainnya,2,1,1,2,Bagus
Termurah Rumah Pik2 Hoek Hadap Danau Pantai Indah Kapuk 2 ,Rp 11 Miliar,3,3,325 m²,300 m²,1,PPJB,Lainnya,1,1,1,3,Baru
Jual Termurah Rumah Pik2 Pik Jakarta Utara,"Rp 4,3 Miliar",3,2,120 m²,150 m²,1,SHM,Lainnya,1,1,2,2,Bagus
Jarang Ada!! Jual Paling Murah Rumah Pik2 ,"Rp 2,2 Miliar",4,4,60 m²,90 m²,1,PPJB,Lainnya,1,1,2,2,Bagus
Jual Termurah Rumah Cluster Danau Pik 2 ,"Rp 3,3 Miliar",4,4,100 m²,134 m²,2,Lainnya,4400 Watt,1,1,1,3,Bagus
Jual Rumah Florence Pik Jakarta Utara,"Rp 4,8 Miliar",4,4,120 m²,150 m²,1,SHM,Lainnya,1,1,5,2,Bagus
Jual Rumah Rapih Bgm Pik Luster Danau Pik Jakarta Utara,"Rp 5,7 Miliar",5,3,144 m²,200 m²,2,SHM,Lainnya,1,1,2,2,Bagus
Rumah Siap Huni Semi Furnished Bagus Shm Di Pondok Indah,Rp 159 Miliar,4,3,2600 m²,654 m²,1,SHM,53000 Watt,1,1,1,2,Bagus
"Dijual Rumah GLC ukuran 6x15m2, Unfurnished, Lokasi Strategis!","Rp 2,5 Miliar",2,1,90 m²,120 m²,1,SHM,Lainnya,2,1,1,2,Bagus
"Dijual Rumah GLC ukuran 4x15m2, Unfurnish, Lokasi Strategis!","Rp 1,55 Miliar",3,3,60 m²,80 m²,1,SHM,Lainnya,1,4,1,2,Bagus
"Dijual Rumah GLC ukuran 11x25m2, Unfurnished, Lokasi Strategis!",Rp 7 Miliar,3,4,275 m²,156 m²,4,SHM,Lainnya,1,4,2,2,Bagus
"Dijual Rumah GLC ukuran 8x16m2, lokasi strategis","Rp 3,5 Miliar",3,2,128 m²,156 m²,2,SHM,Lainnya,3,2,2,3,Bagus
"Dijual Rumah GLC ukuran 6x15m2, Unfurnish, Dekat Pusat Belanja","Rp 2,6 Miliar",3,3,90 m²,120 m²,2,SHM,Lainnya,1,1,1,2,Bagus
"Dijual Rumah GLC ukuran 10x25m2, Semifurnish, Lokasi Strategis!","Rp 6,6 Miliar",3,4,250 m²,211 m²,2,SHM,Lainnya,4,1,1,4,Bagus
"Dijual Rumah GLC ukuran 8x18m2, Semifurnish, Lokasi Strategis!","Rp 3,6 Miliar",4,4,144 m²,190 m²,2,SHM,Lainnya,3,1,2,2,Bagus
"Dijual Rumah Green Lake City, Ukuran 10x18m2, Unfurnish","Rp 6,5 Miliar",5,5,180 m²,400 m²,2,SHM,Lainnya,3,1,1,2,Bagus
